"environment","id","name","active","updatedAt"
"production","N8W00GlobalError20260722","N8-00 Global Error Handler",false,"2026-07-23T01:26:05.805Z"
"production","N8W02CallbackAudit20260722","N8-02 Middleware Callback and Audit",false,"2026-07-23T01:26:08.706Z"
"production","N8W10RecordingResolver20260722","N8-10 Recording and Transcript Resolver",false,"2026-07-23T01:26:11.599Z"
"production","N8W11AIEnrichment20260722","N8-11 AI Call Enrichment",false,"2026-07-23T01:26:14.621Z"
"production","N8W12FollowUpProposal20260722","N8-12 CRM Follow-Up Proposal",false,"2026-07-23T01:26:17.505Z"
"production","N8W13ComplianceQA20260722","N8-13 Compliance and QA Review",false,"2026-07-23T01:26:20.431Z"
"production","N8W14InternalAlert20260722","N8-14 Internal Notification and Escalation",false,"2026-07-23T01:26:23.407Z"
"production","N8W01IntakeRouter20260722","N8-01 Post-Acceptance Intake and Router",false,"2026-07-23T01:26:26.399Z"
"production","N8W90Reconciliation20260722","N8-90 Reconciliation Monitor",false,"2026-07-23T01:26:29.393Z"
"production","N8W99DeadLetterReplay20260722","N8-99 Dead-Letter Replay",false,"2026-07-23T01:26:32.402Z"
"production","moneybee_prequalified","moneybee_prequalified",false,"2026-08-23T02:10:41.861Z"
"production","CodestraCP32","CP-32-CUSTOMER.UPDATED-V1",false,"2026-08-23T02:09:48.969Z"
"production","CDST_AIWorkRequested_v1","CDST_AIWorkRequested_v1",false,"2026-08-23T02:08:19.398Z"
"production","student_eligibility_review","student_eligibility_review",false,"2026-08-23T02:11:22.264Z"
"production","CodestraCP20","CP-20-SMS.RECEIVED-V1",false,"2026-08-23T02:06:24.144Z"
"production","CodestraCP17","CP-17-SMS.SUBMITTED-V1",false,"2026-08-23T02:06:06.208Z"
"production","CodestraCP27","CP-27-EMAIL.UNSUBSCRIBED-V1",false,"2026-08-23T02:06:44.276Z"
"production","codestra_technical_review","codestra_technical_review",false,"2026-08-23T02:10:15.505Z"
"production","VoipOdooInternalCanary20260725","CHG-20260725 VoIP Odoo Internal Canary",false,"2026-07-25T13:43:20.881Z"
"production","codestra_proposal_sent","codestra_proposal_sent",false,"2026-08-23T02:10:09.427Z"
"production","CDST_DailyCampaignReport_v1","CDST_DailyCampaignReport_v1",false,"2026-08-23T02:08:54.097Z"
"production","CodestraCP90","CP-90-STANDARD-ERROR-V1",false,"2026-08-23T02:07:16.250Z"
"production","CDST_CampaignRouter_v2","CDST_CampaignRouter_v2",false,"2026-08-23T02:08:39.688Z"
"production","CDST_CustomerNoShow_v1","CDST_CustomerNoShow_v1",false,"2026-08-23T02:08:45.449Z"
"production","MailUserProvV1TS1","MailUserProvisionedV1",false,"2026-08-22T16:50:41.123Z"
"production","moneybee_documents_requested","moneybee_documents_requested",false,"2026-08-23T02:10:30.010Z"
"production","CodestraCP31","CP-31-CUSTOMER.CREATED-V1",false,"2026-08-23T02:06:55.701Z"
"production","CDST_Appointment24HourReminder_v1","CDST_Appointment24HourReminder_v1",false,"2026-08-23T02:08:28.035Z"
"production","student_documents_missing","student_documents_missing",false,"2026-08-23T02:11:16.567Z"
"production","student_additional_info","student_additional_info",false,"2026-08-23T02:11:10.615Z"
"production","CodestraExternalWebhookCertV1","External Webhook Certification Sink V1",true,"2026-08-23T02:03:01.958Z"
"production","CdstWF7007","WF-70_REPORTING",false,"2026-07-21T11:45:52.828Z"
"production","senior_payment_confirmed","senior_payment_confirmed",false,"2026-08-23T02:10:53.713Z"
"production","transportation_load_booked","transportation_load_booked",false,"2026-08-23T02:11:39.792Z"
"production","senior_support","senior_support",false,"2026-08-23T02:11:07.938Z"
"production","senior_reorder_due","senior_reorder_due",false,"2026-08-23T02:11:02.250Z"
"production","CdstWF2002","WF-20_CALLBACK_MANAGEMENT",false,"2026-07-21T11:45:52.828Z"
